age	gender	education	studyabroad	problem	contribution	optimistic	fear	eastdev	origin	background	ruraldevplus	duration
26-30	Female	S2	Yes	Limited job,Education	Professor	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	2-5
26-30	Female	S2	Yes	Limited job,Education,Infrastructure	Entrepreneur, Professor, Professional	Yes	Bureaucracy	Yes	Jawa Tengah	Teknik	Yes	2-5
17-25	Male	S1	Yes	Technology	Professional	Yes	Inside	No	Jawa Barat	Sistem Informasi/ Komputer	Yes	< 2
26-30	Female	S1	No	Microeconomics,Youth	Professional	Yes	Paper,Alone,Capital	Yes	DKI Jakarta	Ekonomi	Yes	< 2
26-30	Male	S1	No	Crime,Limited job,Bureaucracy,Education	Entrepreneur	Yes	Realistic,Inside	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Male	S2	Yes	HumanSociety	Professional	Yes	Believe	Yes	Sumatera Barat	Sains	Yes	> 7
26-30	Male	S1	No	Bureaucracy,Agriculture	Professional	Yes	Realistic,Alone,Communication	Yes	DKI Jakarta	Sistem Informasi/ Komputer	Yes	2-5
26-30	Female	S2	Yes	Health,HumanSociety	Professional	Yes	Paper	No	Jawa Barat	Kesehatan	No
17-25	Male	SMA	No	Limited job,Microeconomics	Birokrat	Yes	Believe	Yes	Jawa Barat	Ekonomi	Yes	< 2
17-25	Female	SMA	No	Bureaucracy,Education,Energy,Media	Professional	Yes	Realistic,Paper,Alone	No	Lampung	Ekonomi	Yes	< 2
17-25	Female	S1	No	Limited job	Birokrat	Maybe	Politics,Communication	Yes	DKI Jakarta	HumanSocietyiora	Yes	< 2
17-25	Female	S1	Yes	Limited job	Professional	Maybe	Bureaucracy	No	Jawa Timur	Ekonomi	No	< 2
17-25	Female	S1	No	Crime,Limited job	Professional	Maybe	Alone,Capital	Yes	Jawa Timur	Ilmu Sosial dan Politik	Yes	2-5
26-30	Male	S1	No	Limited job,Education,Youth	Birokrat	Yes	Communication	Yes	DKI Jakarta	Ekonomi	Yes	< 2
26-30	Male	D3	No	Education	Birokrat	Maybe	Alone	Yes	Sumatera Barat	Ekonomi	Yes	< 2
26-30	Male	S1	No	Media,Macroeconomics,Microeconomics	Entrepreneur	Yes	Inside	Yes	DKI Jakarta	Bisnis	Yes	2-5
17-25	Female	D3	No	Crime,Bureaucracy,Education,Macroeconomics,Youth	Entrepreneur	Yes	Believe	No	Jawa Barat	Ekonomi	Yes	< 2
17-25	Female	S1	Yes	Crime,Limited job,Media,Youth	Entrepreneur	Yes	Realistic,Paper,Family,Alone,Capital,	Yes	Jawa Tengah	Ekonomi	Yes	< 2
17-25	Female	D3	No	Limited job,Education,Macroeconomics,Microeconomics,Technology	Professor	Maybe	Capital	Yes	Jawa Barat	Ekonomi	Yes	< 2
17-25	Male	S1	No	Limited job,HumanSociety	Professional	Yes	Paper,Capital,Communication	Yes	Sumatera Utara	Ekonomi	Yes	2-5
17-25	Male	S1	No	Bureaucracy,Education,HumanSociety,Microeconomics,Youth	Professor	Yes	Realistic,Politics,Communication,Inside	Yes	Jawa Tengah	Ekonomi	Yes	2-5
17-25	Male	D3	No	Crime,Media,Youth	Entrepreneur	Maybe	Realistic,Paper,Family,Alone,Capital,Timing	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	< 2
17-25	Male	SMA	No	Limited job,Youth,CreativeTourism	Entrepreneur	Yes	Capital	No	Jawa Barat	Ekonomi	Yes	< 2
17-25	Female	D3	No	Natural resources,Media,Youth	Entrepreneur	Yes	Realistic	Yes	Banten	Ekonomi	Yes	< 2
17-25	Male	S1	No	Limited job,Education,Microeconomics	Professor	Yes	Paper,Alone,Capital	Yes	DI Yogyakarta	Ekonomi	Yes	2-5
17-25	Male	SMA	No	Limited job,Media,Youth	Professor	Yes	Paper,Alone,Capital	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	> 7
17-25	Male	S1	No	Crime,Education,Health	Entrepreneur	Yes	Realistic,Family,Communication	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	2-5
17-25	Female	S1	No	Limited job,Education,Gender equality,Microeconomics,Technology	Entrepreneur	Maybe	Believe	Yes	DKI Jakarta	Ilmu Sosial dan Politik	Yes	5-7
17-25	Female	SMA	No	Culture	Entrepreneur	Maybe	Capital,Bureaucracy	Yes	Jawa Barat	Sains	Yes	2-5
17-25	Female	SMA	No	Crime,Bureaucracy,Education,Health,PoliticsLaw,Youth	Birokrat	Yes	Paper,Family,Alone	Yes	Lampung	Ekonomi	Yes	5-7
17-25	Male	SMA	No	Youth	Birokrat	Maybe	Realistic,Paper,Politics,Capital,Inside,	Yes	DKI Jakarta	Teknik	Yes	2-5
26-30	Male	S1	No	Limited job,Education,Health,Media	Entrepreneur	Yes	Paper,Family,Alone,Capital,Communication,	Yes	DKI Jakarta	Teknik	Yes	2-5
26-30	Male	S2	No	Youth	Birokrat, Entrepreneur, Professor, Professional	Yes	Inside	Yes	Banten	Kedokteran	Yes	2-5
17-25	Female	SMA	No	Education	Professor	Maybe	Believe	Yes	Jawa Timur	Kedokteran	Yes	2-5
17-25	Male	S1	Yes	Bureaucracy,Health,Media	Entrepreneur	Yes	Paper,Bureaucracy	No	DKI Jakarta	Bisnis	No
17-25	Male	S1	No	Health	Entrepreneur	Yes	Paper,Politics,Capital,Communication,Bureaucracy,	Yes	DKI Jakarta	HumanSocietyiora	Yes	2-5
26-30	Male	S1	No	Crime,Education,PoliticsLaw,Defense,Defense,Media	Entrepreneur	Maybe	Believe	Yes	DKI Jakarta	Ekonomi	Yes	< 2
17-25	Female	D3	No	Crime,Limited job,Macroeconomics,Microeconomics,Youth	Entrepreneur	Yes	Realistic,Family	Yes	DKI Jakarta	Geografi	Yes	2-5
17-25	Female	S1	No	Health	Birokrat	Yes	Realistic	Yes	DKI Jakarta	sains	Yes	< 2
17-25	Female	SMA	No	Limited job,Education,Health,Youth	Professor	Yes	Believe	Yes	Banten	Kedokteran	Yes	< 2
17-25	Male	SMA	No	Crime,Limited job,Agriculture,Macroeconomics,Microeconomics,Youth	Entrepreneur	Maybe	Believe	Yes	Jawa Barat	Psikologi	Yes	< 2
26-30	Female	S2	Yes	Crime	Birokrat	Yes	Realistic	Yes	Jawa Barat	Teknik	Yes	< 2
26-30	Female	S1	No	Bureaucracy,HumanSociety,Media	Professor, Professional	Yes	Believe	Yes	DKI Jakarta	HumanSocietyiora	Yes	< 2
26-30	Female	S2	No	Limited job,Education,Youth	Professional	Maybe	Realistic	Yes	DKI Jakarta	Teknik	Yes	2-5
17-25	Male	S1	No	Limited job,Education,Youth	Professional	Maybe	Realistic	Yes	Sumatera Utara	Kedokteran	Yes	> 7
17-25	Female	SMA	No	Education,Agriculture,Technology	Professional	Yes	Politics,Communication,Bureaucracy	Yes	DI Yogyakarta	Hukum	Yes	< 2
17-25	Male	SMA	No	Technology	Professional	Yes	Politics	Yes	DI Yogyakarta	Ekonomi	Yes	2-5
17-25	Male	S1	No	Youth	Professional	Yes	Timing	Yes	Jawa Timur	Kedokteran	Yes	> 7
17-25	Female	S2	Yes	Education,HumanSociety,Media,Youth	Birokrat	Yes	Politics,Bureaucracy	Yes	Jawa Timur	Sistem Informasi/ Komputer	Yes	< 2
17-25	Male	S1	Yes	Limited job,PoliticsLaw	Entrepreneur	Yes	Alone	Yes	DKI Jakarta	Bisnis	Yes	< 2
26-30	Male	S1	Yes	Limited job,PoliticsLaw,Energy,Natural resources,Defense,Macroeconomics,Youth	Professor	Yes	Paper	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Male	S1	No	Education,Energy,Natural resources,Technology	Professional	Yes	Realistic,Politics	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Female	S1	Yes	Education,Media	Professional	Yes	Paper,Alone	Yes	Jawa Tengah	Ilmu Sosial dan Politik	Yes	2-5
26-30	Female	S1	No	Energy,Natural resources	Birokrat	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Kedokteran	Yes	2-5
26-30	Female	S1	Yes	Crime,Limited job,Education,Energy,Technology	Entrepreneur	Maybe	Politics,Alone	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	< 2
26-30	Female	S1	Yes	Education,Agriculture,Energy,Natural resources,Defense,Media	Entrepreneur	Maybe	Realistic,Paper,Politics,Alone,Communication,	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	< 2
