age	gender	education	studyabroad	problem	contribution	contribution	optimistic	fear	eastdev	origin	background	ruraldevplus	duration
26-30	Female	S2	Yes	Limited job,Education	Professor	Professor	Yes	Politics,Bureaucracy	Yes	Jawa Barat	Teknik	Yes	2-5
26-30	Female	S2	Yes	Limited job,Education,Infrastructure	Entrepreneur, Professor, Professional	Entrepreneur, Professor, Professional	Yes	Bureaucracy	Yes	Jawa Tengah	Teknik	Yes	2-5
17-25	Male	S1	Yes	Technology	Professional	Professional	Yes	Inside	No	Jawa Barat	Sistem Informasi/ Komputer	Yes	< 2
26-30	Female	S1	No	Microeconomics,Youth	Professional	Professional	Yes	Paper,Alone,Capital	Yes	DKI Jakarta	Ekonomi	Yes	< 2
26-30	Male	S1	No	Crime,Limited job,Bureaucracy,Education	Entrepreneur	Entrepreneur	Yes	Realistic,Inside	Yes	Jawa Barat	Ekonomi	Yes	2-5
17-25	Male	S2	Yes	HumanSociety	Professional	Professional	Yes	Believe	Yes	Sumatera Barat	Sains	Yes	> 7
26-30	Male	S1	No	Bureaucracy,Agriculture	Professional	Professional	Yes	Realistic,Alone,Communication	Yes	DKI Jakarta	Sistem Informasi/ Komputer	Yes	2-5
26-30	Female	S2	Yes	Health,HumanSociety	Professional	Professional	Yes	Paper	No	Jawa Barat	Keperawatan	No	
17-25	Male	SMA	No	Limited job,Microeconomics	Birokrat	Birokrat	Yes	Believe	Yes	Jawa Barat	Ekonomi	Yes	< 2
17-25	Female	SMA	No	Bureaucracy,Education,Energy,Media	Professional	Professional	Yes	Realistic,Paper,Alone	No	Lampung	Ekonomi	Yes	< 2
17-25	Female	S1	No	Limited job	Birokrat	Birokrat	Maybe	Politics,Communication	Yes	DKI Jakarta	HumanSocietyiora	Yes	< 2
17-25	Female	S1	Yes	Limited job	Professional	Professional	Maybe	Bureaucracy	No	Jawa Timur	Ekonomi	No	< 2
17-25	Female	S1	No	Crime,Limited job	Professional	Professional	Maybe	Alone,Capital	Yes	Jawa Timur	Perpajakan	Yes	2-5
26-30	Male	S1	No	Limited job,Education,Youth	Birokrat	Birokrat	Yes	Communication	Yes	DKI Jakarta	Ekonomi	Yes	< 2
26-30	Male	D3	No	Education	Birokrat	Birokrat	Maybe	Alone	Yes	Sumatera Barat	Ekonomi	Yes	< 2
26-30	Male	S1	No	Media,Macroeconomics,Microeconomics	Entrepreneur	Entrepreneur	Yes	Inside	Yes	DKI Jakarta	Bisnis	Yes	2-5
17-25	Female	D3	No	Crime,Bureaucracy,Education,Macroeconomics,Youth	Entrepreneur	Entrepreneur	Yes	Believe	No	Jawa Barat	Ekonomi	Yes	< 2
17-25	Female	S1	Yes	Crime,Limited job,Media,Youth	Entrepreneur	Entrepreneur	Yes	Realistic,Paper,Family,Alone,Capital,	Yes	Jawa Tengah	Ekonomi	Yes	< 2
17-25	Female	D3	No	Limited job,Education,Macroeconomics,Microeconomics,Technology	Professor	Professor	Maybe	Capital	Yes	Jawa Barat	Ekonomi	Yes	< 2
17-25	Male	S1	No	Limited job,HumanSociety	Professional	Professional	Yes	Paper,Capital,Communication	Yes	Sumatera Utara	Ekonomi	Yes	2-5
17-25	Male	S1	No	Bureaucracy,Education,HumanSociety,Microeconomics,Youth	Professor	Professor	Yes	Realistic,Politics,Communication,Inside	Yes	Jawa Tengah	Ekonomi	Yes	2-5
17-25	Male	D3	No	Crime,Media,Youth	Entrepreneur	Entrepreneur	Maybe	Realistic,Paper,Family,Alone,Capital,Timing	Yes	Jawa Barat	Seni/ Desain/ Media	Yes	< 2
